"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 20 02:52:46 CST 2022","Mon Jun 20 02:52:46 CST 2022","0","python_.lacheln.pytest.course录播.allure","test_allure_demo","","","","test_broken",""
"failed","Mon Jun 20 02:52:46 CST 2022","Mon Jun 20 02:52:46 CST 2022","0","python_.lacheln.pytest.course录播.allure","test_allure_demo","","","","test_fail",""
"skipped","Mon Jun 20 02:52:46 CST 2022","Mon Jun 20 02:52:46 CST 2022","0","python_.lacheln.pytest.course录播.allure","test_allure_demo","","","","test_skip",""
"passed","Mon Jun 20 02:52:46 CST 2022","Mon Jun 20 02:52:46 CST 2022","0","python_.lacheln.pytest.course录播.allure","test_allure_demo","","","","test_success",""
